id,name,host_id,host_name,neighbourhood_group,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,last_review,reviews_per_month,calculated_host_listings_count,availability_365
69074,Beautiful oasis of plants & art @ best location,160139,Amy,,Central & Western,22.28352,114.15018,Entire home/apt,1408,3,130,2019-05-02,1.27,1,159
101765,Lamma Island flat 2min walk from the beach!,532909,Michael,,Islands,22.20022,114.13461,Entire home/apt,430,2,11,2019-06-09,0.71,1,47
103760,Central Centre 5 min walk to/from Central MTR,304876,Brend,,Central & Western,22.28407,114.1557,Entire home/apt,853,2,260,2019-07-04,2.65,12,329
132773,Fabulous 2 Bdrm Aprt Open kitchen ,304876,Brend,,Central & Western,22.28868,114.14494,Entire home/apt,1056,2,259,2019-07-03,2.66,12,308
133390,"Soho, Hong Kong 1 bedroom flat",654642,Robin,,Central & Western,22.28343,114.15539,Entire home/apt,939,2,27,2015-06-30,0.28,1,91
163214,50m2 nest in Central/Sheung Wan!,767910,Pierre,,Central & Western,22.28494,114.15251,Entire home/apt,1048,5,0,,,1,83
163664,Soho off Hollywood Road P4,304876,Brend,,Central & Western,22.28651,114.14874,Entire home/apt,696,2,208,2019-07-08,2.17,12,284
163742,Soho off Hollywood Road P3,304876,Brend,,Central & Western,22.28694,114.14855,Entire home/apt,775,2,216,2019-07-11,2.24,12,307
174574,2BR SEA VIEW:AIRPORT & DISNEY♥LATE SELF CHK-IN OK,530880,Jennifer,,Islands,22.30388,114.00887,Entire home/apt,1580,3,119,2019-07-09,1.26,2,129
228510,Creative Residence in Yau Ma Tei,1192493,Michael,,Yau Tsim Mong,22.30983,114.16911,Private room,696,1,17,2017-02-08,0.18,1,365
239788,Room nearby 4-stars Hotel for HKD 350!!!,1256401,Eric,,Yuen Long,22.45758,114.0059,Private room,352,3,4,2017-03-23,0.05,1,0
248140,Bright Studio - Soho - Central HK,1300549,Darren,,Central & Western,22.28291,114.15137,Entire home/apt,994,2,153,2019-07-10,1.63,1,142
262212,Wan Chai MTR Open Studio: 1-4 Guests 460SF,1375696,C S,,Wan Chai,22.27626,114.17293,Entire home/apt,1314,1,73,2019-03-31,0.79,18,4
263081,"3BR, 2 Helpers, Family Friendly!",1370155,Chuster,,Central & Western,22.27757,114.15205,Private room,4303,10,0,,,1,0
274589,"8 mins HKCEC, 5 mins MTR Wan Chai, nr Causeway Bay",1435069,Shanshan,,Wan Chai,22.2794,114.17118,Entire home/apt,1080,2,231,2019-05-20,2.50,1,348
277437,Flat near HKU/IFC/Lan Kwai Fong,1443229,Alice,,Central & Western,22.28359,114.13138,Entire home/apt,900,2,41,2019-04-23,0.44,6,342
278277,FANTASTIC (HK) in the heart of HK,1452499,Sally,,Wan Chai,22.27938,114.17368,Entire home/apt,1549,3,238,2019-06-25,2.58,7,298
280746,Beautiful 3 bedroom designer Apt,1443229,Alice,,Yuen Long,22.46662,113.98316,Entire home/apt,939,4,100,2019-07-09,2.36,6,0
284141,"Big, quiet apt above Hollywood Rd",1469210,Abheek,,Central & Western,22.28317,114.15028,Entire home/apt,626,2,22,2016-06-20,0.24,1,0
290161,Amazing Location -  Designer Flat,1505903,Sara,,Central & Western,22.28114,114.15306,Entire home/apt,782,1,34,2018-09-29,0.50,1,0
306515,"HongKong,Central Bright Double Room",1576511,Frederic,,Central & Western,22.28222,114.15448,Entire home/apt,1056,30,20,2015-08-14,0.22,1,194
320446,SUITE 2: Next2 SouthPacificHotel,1375696,C S,,Wan Chai,22.27599,114.17976,Private room,1001,1,15,2015-11-14,0.17,18,76
320447,3BedR + 3BathR (3-10 Guests) 600SF,1375696,C S,,Wan Chai,22.27711,114.17772,Entire home/apt,2253,1,102,2019-05-04,1.15,18,198
327095,"3Brs(HB) in the heart of HK,WanChai",1529119,Eric,,Wan Chai,22.27909,114.17205,Entire home/apt,1158,3,226,2019-06-29,2.95,1,307
354442,5500 sq ft family home in Hong Kong,1794577,Simon,,Southern,22.26791,114.12554,Entire home/apt,2504,5,2,2018-06-26,0.08,1,0
355748,Central&Private Studio-Causeway Bay,1267685,Lysa,,Wan Chai,22.27716,114.18787,Private room,297,14,5,2019-06-29,0.56,7,10
389017,Causeway Bay Tai Hang Quiet & Light,1946293,Su,,Wan Chai,22.27814,114.19228,Private room,485,2,40,2018-04-08,0.45,2,364
405722,Soho/ Mid-levels Apt For Rental ,2022316,Tereza,,Central & Western,22.2816,114.15042,Entire home/apt,1017,1,0,,,1,0
410921,SUITE 1: Next to South Pacific Hotel,1375696,C S,,Wan Chai,22.27736,114.17949,Private room,782,1,18,2017-10-06,0.21,18,76
412404,Budget Apt 1-5 px Tsim Sha Tsui Mtr,1991696,Gigi,,Yau Tsim Mong,22.29701,114.17138,Entire home/apt,548,1,217,2019-06-26,3.61,3,325
415520,"Nice, Harmony & Cozy Apt (2 Brs, 578 g.s.f) Jordan",1564983,Patrick,,Yau Tsim Mong,22.30598,114.1659,Entire home/apt,1001,3,434,2019-07-02,5.24,2,102
442781,Spacious Lofty and Modern Apartment,2200572,Edouard,,Central & Western,22.28756,114.13367,Entire home/apt,1244,5,10,2019-07-10,4.00,1,0
459463,Wifi Causeway Bay petit home by MTR,2283777,Jennifer,,Wan Chai,22.27732,114.18291,Entire home/apt,383,1,74,2019-02-10,1.16,16,365
463214,Awesome flat in Sai Ying Pun with Harbour view!!,2296168,Arnaud,,Central & Western,22.28753,114.14308,Entire home/apt,1322,3,20,2019-01-02,0.24,1,227
468754,3 Bedrooms Apt Near Times Square,2254012,Chloe,,Wan Chai,22.28073,114.17838,Entire home/apt,1103,3,197,2019-06-10,2.27,1,212
470946,Studio@waterfront+Sleep4+Island East+MTR station,2336819,Han,,Eastern,22.2836,114.22203,Entire home/apt,868,2,170,2019-06-30,1.96,2,101
481671,Cozy apart in the heart of SW!,2379932,Emilie,,Central & Western,22.28571,114.15166,Entire home/apt,297,15,0,,,1,0
498484,Cosy apartment in central Kowloon,2460679,Richard,,Yau Tsim Mong,22.32193,114.16213,Entire home/apt,540,4,60,2019-02-09,0.73,1,352
501379,"Quiet, rural outlying island flat",2474113,Graham,,Islands,22.23697,114.11059,Entire home/apt,579,5,30,2017-11-09,0.45,2,0
505160,"Apartment located in Stanley, H.K.",1443229,Alice,,Southern,22.21972,114.209,Entire home/apt,704,3,20,2019-06-17,0.33,6,341
505456,GREEN NEST IN  SHEUNG WAN HEART,1189239,Audrey,,Central & Western,22.28356,114.14835,Entire home/apt,876,1,189,2019-06-24,2.19,1,262
529539,Great apartment in Causeway Bay!,2192939,Tim,,Wan Chai,22.27763,114.18318,Entire home/apt,798,5,8,2019-02-12,0.17,2,90
534106,Cosy apartment in the heart of HK!,2625423,Stephanie,,Central & Western,22.28403,114.14192,Entire home/apt,1001,1,12,2015-12-30,0.16,2,8
545658,Great studio in Kennedy Town!,2679225,Adam,,Central & Western,22.28276,114.12848,Entire home/apt,751,5,2,2015-02-15,0.04,1,0
548840,"GreatStudio NewDecor, Nice Area 3rd",808933,J,,Central & Western,22.28505,114.14211,Entire home/apt,540,2,173,2019-05-06,2.06,3,335
554138,bright and (quiet) artist studio,635161,Cedric,,Central & Western,22.28378,114.1476,Entire home/apt,876,2,8,2019-01-03,0.11,1,0
560337,High floor/Bay view in Kowloon !!,2755168,Sonia,,Kowloon City,22.3136,114.18918,Private room,258,2,222,2019-06-09,2.60,1,331
562683,Mixed Dorm Bed#1 in Wan Chai (灣仔)(混合床位)(一張床位),2767794,Check Inn HK,,Wan Chai,22.27787,114.17678,Shared room,172,1,110,2019-03-12,1.34,48,347
562775,Mixed Dorm Bed#2 in Wan Chai (灣仔)(混合床位)(一張床位),2767794,Check Inn HK,,Wan Chai,22.27931,114.17663,Shared room,282,1,188,2019-07-07,4.13,48,361
562795,Mixed Dorm Bed#3 in Wan Chai (灣仔)(混合床位)(一張床位),2767794,Check Inn HK,,Wan Chai,22.27939,114.17777,Shared room,282,1,43,2019-06-12,0.94,48,365
562808,Mixed Dorm Bed#4 in Wan Chai (灣仔)(混合床位)(一張床位),2767794,Check Inn HK,,Wan Chai,22.27762,114.17624,Shared room,282,1,25,2019-06-14,0.56,48,365
562817,Mixed Dorm Bed#A in Wan Chai (灣仔)(混合床位)(一張床位),2767794,Check Inn HK,,Wan Chai,22.27706,114.17589,Shared room,282,1,155,2019-06-26,1.83,48,362
562840,Mixed Dorm Bed#B in Wan Chai (灣仔)(混合床位)(一張床位),2767794,Check Inn HK,,Wan Chai,22.27759,114.17671,Shared room,282,1,28,2019-05-08,0.33,48,365
578652,Modern family-friendly suite in fishing village,2846701,Veronica,,Islands,22.25386,113.864,Private room,1760,1,8,2019-05-03,0.16,4,165
586083,Budget Studio1-5p Tsim Sha Tsui MTR,1991696,Gigi,,Yau Tsim Mong,22.29846,114.17233,Entire home/apt,454,1,292,2019-06-25,3.47,3,285
598668,Stylish room in Causeway Bay,2961152,Lin,,Wan Chai,22.28124,114.18418,Private room,399,28,3,2016-02-01,0.04,7,365
602959,Nice decor studio w/large terrace,1560343,Trudy,,Central & Western,22.28774,114.14254,Entire home/apt,1174,2,2,2018-05-19,0.02,1,361
603049,Deluxe Room@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25593,113.86183,Private room,1158,1,22,2019-05-04,0.35,4,156
603050,Standard Rm@Espace Elastique-Tai O,2846701,Veronica,,Islands,22.25437,113.8637,Private room,876,1,14,2019-05-06,0.20,4,160
603051,"""Lotus""-Zen styled room @Espace Elastique of Tai O",2846701,Veronica,,Islands,22.25409,113.86228,Private room,642,1,52,2019-06-12,0.74,4,152
603232,DISCOVERY BAY - 3 Bedroom apartment,2986287,Tish,,Islands,22.29378,114.01458,Entire home/apt,1197,2,84,2019-06-19,1.25,1,0
604953,"3BR SEAVIEW, AIRPORT & DISNEY  LATE SELF CHK-IN",530880,Jennifer,,Islands,22.30631,114.00862,Entire home/apt,1651,3,151,2019-07-04,1.80,2,160
617035,"2 bedroom, Huge living space, 10 mins walk to MTR",2711873,Shirley,,Kwai Tsing,22.36802,114.13212,Entire home/apt,618,14,11,2019-07-02,0.13,1,232
621305,NEW Cozy APT 4 mins to Mong Kok MTR,3079511,Bonnie,,Yau Tsim Mong,22.31501,114.16907,Entire home/apt,759,1,379,2019-07-02,4.49,4,280
622020,Bright 1-bdrm apt in Sheung Wan HKG,3073447,Sarah,,Central & Western,22.28387,114.14753,Entire home/apt,1197,5,28,2016-03-23,0.34,1,0
